codigo_ibge,ano,familias_beneficiarias,valor_total,valor_medio,valor_por_familia
412840,2025,848,6540690.0,645.59,643.11
412850,2025,1580,12997786.0,686.62,685.74
412853,2025,849,6623025.0,658.33,649.94
412855,2025,302,2192487.0,609.93,606.23
412860,2025,234,1849300.0,658.78,658.05
412862,2025,285,2244526.0,657.36,654.63
412863,2025,833,6492330.0,650.78,649.71
412865,2025,196,1559968.0,662.74,661.19
412870,2025,465,3900950.0,703.0,699.53
412880,2025,417,3382740.0,678.49,675.87
420005,2025,168,1337331.0,664.87,664.12
420010,2025,1545,12633859.0,683.16,681.84
420020,2025,162,1360602.0,700.86,700.86
420030,2025,72,640007.0,740.32,738.7
420040,2025,92,669639.0,613.88,610.88
420050,2025,256,1912522.0,632.58,624.28
420055,2025,43,312347.0,604.16,604.16
420060,2025,173,1431965.0,700.53,689.72
420070,2025,524,4095431.0,654.53,651.93
420075,2025,21,148797.0,603.25,603.25
420080,2025,107,810150.0,629.68,628.12
420090,2025,154,1274813.0,689.12,688.74
420100,2025,733,5684207.0,647.69,647.44
420110,2025,112,929263.0,699.35,694.85
420120,2025,174,1347996.0,649.71,647.59
420125,2025,134,1134294.0,713.93,707.22
420127,2025,76,650072.0,721.18,709.43
420130,2025,2168,17629911.0,692.42,677.66
420140,2025,2234,18036332.0,678.14,672.93
420150,2025,320,2744548.0,718.89,716.34
420160,2025,34,260070.0,648.21,634.05
420165,2025,49,372820.0,650.04,637.07
420170,2025,174,1537297.0,747.58,735.83
420180,2025,43,364657.0,702.8,702.8
420190,2025,68,570700.0,700.79,693.93
420195,2025,1168,9745235.0,696.99,695.4
420200,2025,2808,21423874.0,638.99,636.2
420205,2025,818,6742520.0,691.29,687.21
420207,2025,864,7159809.0,692.78,690.61
420208,2025,131,1018427.0,653.46,645.41
420209,2025,71,580485.0,687.42,683.66
420210,2025,1905,15078368.0,666.98,659.6
420213,2025,350,2657647.0,634.73,633.87
420215,2025,88,667766.0,643.65,635.5
420220,2025,136,1121744.0,698.09,686.46
420230,2025,3418,27220929.0,668.62,663.69
420240,2025,6669,52178328.0,654.47,652.27
420243,2025,305,2325176.0,637.8,633.51
420245,2025,1010,8056178.0,677.33,664.91
420250,2025,461,3713926.0,673.54,671.81
420253,2025,245,1963374.0,668.95,668.27
420257,2025,70,578010.0,686.66,684.1
420260,2025,552,4461792.0,679.02,674.8
420270,2025,119,926967.0,658.27,651.08
420280,2025,918,7566620.0,688.86,687.06
420285,2025,11,64150.0,491.72,482.41
420287,2025,178,1383111.0,655.73,649.18
420290,2025,2686,20959692.0,653.27,650.59
